1.	121	0.007815531976384129
2.	21	0.007551298460014038
3.	245	0.007043474670740266
4.	1531	0.005425044382973453
5.	1367	0.0027950951653523803
6.	31	0.002493703810742744
7.	1040	0.0022170843482928037
8.	80	0.002138640023120433
9.	254	0.002068452995334627
10.	452	0.0020106519136286693
11.	392	0.0016101729903802485
12.	100	0.0015812724495272697
13.	157	0.0015482432599810082
14.	169	0.0015399859625944427
15.	3870	0.0015152140704347468
16.	561	0.0014243837991825277
17.	884	0.0013789686635564179
18.	997	0.0013583254200900045
19.	72	0.0013376821766235912
20.	8	0.0011849221749721315
21.	202	0.0011725362288922837
22.	645	0.0011271210932661739
23.	2883	0.0011229924445728913
24.	145	0.0010858346063333472
25.	27	0.0010775773089467817
26.	490	0.0010404194707072376
27.	125	0.0010115189298542588
28.	942	9.908756863878452E-4
29.	247	9.8261838900128E-4
30.	179	9.53717848148301E-4
31.	81	9.248173072953222E-4
32.	26	9.206886586020396E-4
33.	1403	9.083027125221915E-4
34.	152	8.87659469055778E-4
35.	1043	8.463729821229512E-4
36.	708	8.422443334296684E-4
37.	337	8.09215143883407E-4
38.	15492	8.009578464968416E-4
39.	321	7.885719004169935E-4
40.	242	7.844432517237108E-4
41.	1964	7.720573056438628E-4
42.	484	7.638000082572974E-4
43.	1755	7.596713595640147E-4
44.	281	7.55542710870732E-4
45.	15686	7.55542710870732E-4
46.	154	7.225135213244705E-4
47.	857	7.101275752446224E-4
48.	1365	7.101275752446224E-4
49.	16	7.059989265513398E-4
50.	20	7.059989265513398E-4
