121	0.007981814556545673
21	0.007732062081589672
245	0.00736064807910292
1531	0.005094577916500423
1367	0.0028370133702909713
31	0.0025372880031223847
80	0.0022163876642043636
1040	0.0021827339503940908
254	0.0020237093276559877
452	0.0019456716878007267
157	0.0016265645043628259
392	0.0016196981962814157
169	0.0016100336042386032
100	0.001563301586913836
561	0.0014603872422267663
3870	0.001444132834055663
997	0.0013542517666306503
884	0.0012779232708490136
202	0.0012662592691862976
8	0.0012576484943007666
72	0.0012306496088245707
145	0.001190292414650753
27	0.0010921411664899852
645	0.0010832640990637852
490	0.0010628032315492294
2883	0.001050251272230723
81	0.001026584310201453
942	0.0010102762100105355
125	9.523534876096876E-4
247	9.403971420230676E-4
337	8.778525185859766E-4
179	8.775760570609947E-4
708	8.767797086871948E-4
1403	8.6978915912663E-4
484	8.577269926892202E-4
26	8.541762666948528E-4
152	8.52732787873496E-4
321	8.278622765843499E-4
242	8.119700808332892E-4
1964	7.87064226410384E-4
1043	7.85396793360384E-4
15492	7.820781907239335E-4
857	7.714835561904135E-4
1755	7.505822315230918E-4
1200	7.227753769171231E-4
281	7.120862313528786E-4
154	7.092497492894909E-4
16	7.031928562139228E-4
1365	7.024517307991648E-4
1153	7.00552747620424E-4
3692	6.876107248682352E-4
15686	6.850265689322404E-4
3120	6.817109643510257E-4
1158	6.813647926198129E-4
20	6.748426102441507E-4
69	6.599237620287813E-4
646	6.541317840380363E-4
559	6.483407719623643E-4
132	6.360512001975948E-4
271	6.343294395131693E-4
1370	6.325446106644842E-4
320	6.193229211061892E-4
177	6.186228025013184E-4
246	5.985840088087253E-4
946	5.915909500267917E-4
437	5.884873516664625E-4
3087	5.873650509302474E-4
713	5.866557926534942E-4
218	5.791324638104084E-4
1570	5.691521576624559E-4
36	5.662491024841812E-4
122	5.621229280480688E-4
1094	5.611910231490098E-4
389	5.597870939970912E-4
2100	5.579232527184071E-4
890	5.516827346815832E-4
277	5.508113620130127E-4
1712	5.482936463040496E-4
1203	5.47277232787611E-4
947	5.450752100876542E-4
2523	5.448376075332844E-4
553	5.416192666410037E-4
1506	5.396369495494978E-4
1831	5.382388973032573E-4
794	5.320380417638027E-4
124	5.282624970052087E-4
3749	5.220144469851573E-4
1818	5.196461798182693E-4
5197	5.181650298689385E-4
4780	5.149003744758876E-4
388	5.145312794145493E-4
1455	5.13990946243098E-4
2114	5.125810307105508E-4
1154	5.093644108844839E-4
184	5.040939418909035E-4
382	4.985367253170813E-4
403	4.982970210956222E-4
1498	4.963025970316701E-4
402	4.947230475995058E-4
395	4.94594376411857E-4
394	4.940494531566145E-4
384	4.93251482525251E-4
390	4.921686546979755E-4
1658	4.896454515369349E-4
381	4.884090555387243E-4
383	4.884090555387243E-4
385	4.884090555387243E-4
386	4.884090555387243E-4
391	4.884090555387243E-4
393	4.884090555387243E-4
396	4.884090555387243E-4
397	4.884090555387243E-4
398	4.884090555387243E-4
401	4.884090555387243E-4
2824	4.879463661051617E-4
63	4.738826296349631E-4
644	4.6787274090745473E-4
806	4.6134288851152304E-4
3382	4.6033526176765457E-4
3512	4.5921436238331877E-4
2365	4.591002512619029E-4
523	4.5745884084261835E-4
2796	4.572362147984443E-4
2359	4.5217644130891095E-4
1059	4.490349724035392E-4
808	4.4465155456149667E-4
2069	4.42197611441283E-4
181	4.395076037064898E-4
334	4.386841662862254E-4
3674	4.380406452293633E-4
71	4.355728747504828E-4
2843	4.353979182807234E-4
3783	4.3001496967426167E-4
2014	4.284377059910356E-4
710	4.2225795583820166E-4
930	4.1917229709235906E-4
2046	4.1663695178409735E-4
82	4.1608144948547884E-4
1202	4.1551153964445735E-4
4183	4.042872037307542E-4
3495	4.007327332002915E-4
3003	3.9752131877228013E-4
1495	3.916410339849959E-4
655	3.865298234898468E-4
649	3.812250579524016E-4
1201	3.799495837084345E-4
993	3.7921387860571893E-4
632	3.779075173672194E-4
