Davis	0.007981710241919676
Photo_Requests	0.0077319642926673695
UC_Davis	0.007360583889324302
Seed/Definition	0.005094488897463086
departed_businesses	0.002836961236087194
Sacramento	0.002537251495523695
ASUCD	0.002216514793956867
Woodland	0.002182730415744201
campus	0.0020236923927504677
City_Council	0.001945613841918689
East_Davis	0.0016265397902122812
Yolo_County	0.001619670156336094
South_Davis	0.0016100084181325835
West_Davis	0.0015632726105342502
City_of_Davis	0.0014603625314694472
Cul-de-sacs	0.0014441170619132577
ASUCD_Senate	0.0013543765656396619
Interstate_80	0.001277902191123425
The_California_Aggie	0.0012662597487009006
2007	0.0012576332910980003
Campus	0.0012306382707233077
North_Davis	0.0011902742193433118
Arboretum	0.0010921435255879482
Memorial_Union	0.0010832645562999692
Davis_Enterprise	0.0010627883183494489
Dentists	0.0010502376677773838
KDVS	0.001026580987285655
2006	0.0010102648333879397
Music_Scene	9.523391055961586E-4
Picnic_Day	9.40390465376545E-4
Davis_Senior_High_School	8.778389847804603E-4
Town_Flora	8.775894553611991E-4
Unitrans	8.767709048940397E-4
Daubert	8.697745201495262E-4
Winters	8.577132159491344E-4
Highway_113	8.541604941290195E-4
Apartments	8.527163497002738E-4
2008	8.27853001697735E-4
Front_Page	8.119602387756187E-4
ttp://gnome.wikispot.org/Users/JoePomidor	7.87051847375028E-4
Dixon	7.854210656895391E-4
User_Statistics	7.812233224707753E-4
West_Sacramento	7.715008984636975E-4
Pole_Line_Road	7.50567422696756E-4
2011	7.227645620713424E-4
downtown	7.120726392712661E-4
Downtown	7.092384300166068E-4
2004	7.031824678028455E-4
2nd_Street	7.024351428975483E-4
Davis_Food_Co-op	7.005428621979569E-4
Spiritual_Organizations	6.876018891395786E-4
Bay_Area	6.816974586335031E-4
